quote,author,predicted_tags
The snake which cannot cast its skin has to die. As well the minds which are prevented from changing their opinions; they cease to be mind.,Friedrich Nietzsche,"('humor', 'mind', 'truth')"
Man is the only animal that must be encouraged to live.,Friedrich Nietzsche,"('life', 'living', 'man')"
The secret of reaping the greatest fruitfulness and the greatest enjoyment from life is to live dangerously.,Friedrich Nietzsche,"('life', 'lifelessons', 'passion')"
Silence is worse; all truths that are kept silent become poisonous.,Friedrich Nietzsche,"('fear', 'life', 'truth')"
"There are no facts, only interpretations.",Friedrich Nietzsche,"('faith', 'science', 'truth')"
you must be ready to burn yourself in your own flame; how could you rise anew if you have not first become ashes?,Friedrich Nietzsche,"('death', 'humor', 'inspirational')"
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,"('friendship', 'love', 'marriage')"
"One can promise actions, but not feelings, for the latter are involuntary. He who promises to love forever or hate forever or be forever faithful to someone is promising something that is not in his power.",Friedrich Nietzsche,"('courage', 'love', 'passion')"
Our greatest experiences are our quietest moments.,Friedrich Nietzsche,"('inspirational', 'life', 'truth')"
Be careful when you cast out your demons that you dont throw away the best of yourself.,Friedrich Nietzsche,"('humor', 'inspirational', 'purpose')"
"To predict the behavior of ordinary people in advance, you only have to assume that they will always try to escape a disagreeable situation with the smallest possible expenditure of intelligence.",Friedrich Nietzsche,"('intelligence', 'people', 'wisdom')"
"My solitude doesnt depend on the presence or absence of people; on the contrary, I hate who steals my solitude without, in exchange, offering me true company.",Friedrich Nietzsche,"('freedom', 'friendship', 'happiness')"
Call me whatever you like; I am who I must be.,Friedrich Nietzsche,"('love', 'money', 'you')"
"They muddy the water, to make it seem deep.",Friedrich Nietzsche,"('future', 'motivationalquotes', 'trust')"
The surest way to corrupt a youth is to instruct him to hold in higher esteem those who think alike than those who think differently.,Friedrich Nietzsche,"('politics', 'trust', 'writing')"
"When marrying, ask yourself this question: Do you believe that you will be able to converse well with this person into your old age? Everything else in marriage is transitory.",Friedrich Nietzsche,"('love', 'marriage', 'time')"
Men who think deeply appear to be comedians in their dealings with others because they always have to feign superficiality in order to be understood.,Friedrich Nietzsche,"('humour', 'men', 'women')"
"If the all powerful god controls satan he is an accomplice, and if he doesn't, he is not an all powerful god.",Friedrich Nietzsche,"('god', 'religion', 'spiritual')"
"The Great Man... is colder, harder, less hesitating, and without fear of 'opinion'; he lacks the virtues that accompany respect and 'respectability,' and altogether everything that is the 'virtue of the herd.' If he cannot lead, he goes alone... He knows he is incommunicable: he finds it tasteless to be familiar... When not speaking to himself, he wears a mask. There is a solitude within him that is inaccessible to praise or blame.",Friedrich Nietzsche,"('great', 'man', 'society')"
Is it better to out-monster the monster or to be quietly devoured?,Friedrich Nietzsche,"('beauty', 'inspirational', 'purpose')"
"The world is beautiful, but has a disease called man.",Friedrich Nietzsche,"('beauty', 'man', 'world')"
Solitude makes us tougher towards ourselves and tenderer towards others. In both ways it improves our character.,Friedrich Nietzsche,"('friendship', 'life', 'me')"
One should die proudly when it is no longer possible to live proudly.,Friedrich Nietzsche,"('death', 'humour', 'life')"
Only he who is man enough will release the woman in woman.,Friedrich Nietzsche,"('love', 'man', 'women')"
Love your enemies because they bring out the best in you.,Friedrich Nietzsche,"('faith', 'inspirational', 'love')"
"Young people love what is interesting and odd, no matter how true or false it is. More mature minds love what is interesting and odd about truth. Fully mature intellects, finally, love truth, even when it appears plain and simple, boring to the ordinary person; for they have noticed that truth tends to reveal its highest wisdom in the guise of simplicity.",Friedrich Nietzsche,"('love', 'mind', 'truth')"
The real question is: How much truth can I stand?,Friedrich Nietzsche,"('faith', 'love', 'truth')"
There's no defense against stupidity.,Friedrich Nietzsche,"('courage', 'humor', 'people')"
"I am a forest, and a night of dark trees: but he who is not afraid of my darkness, will find banks full of roses under my cypresses.",Friedrich Nietzsche,"('love', 'nature', 'writing')"
"So long as men praise you, you can only be sure that you are not yet on your own true path but on someone else's.",Friedrich Nietzsche,"('love', 'men', 'women')"
Every deep thinker is more afraid of being understood than of being misunderstood.,Friedrich Nietzsche,"('fear', 'people', 'truth')"
One must still have chaos in oneself to be able to give birth to a dancing star.,Friedrich Nietzsche,"('inspirational', 'life', 'reality')"
"The true man wants two things: danger and play. For that reason he wants woman, as the most dangerous plaything.",Friedrich Nietzsche,"('man', 'men', 'women')"
I and me are always too deeply in conversation.,Friedrich Nietzsche,"('life', 'love', 'romance')"
Nothing on earth consumes a man more quickly than the passion of resentment.,Friedrich Nietzsche,"('love', 'man', 'passion')"
"The discipline of suffering, of great suffering- do you not know that only this discipline has created all enhancements of man so far? That tension of the soul in unhappiness which cultivates its strength, its shudders face to face with great ruin, its inventiveness and courage in enduring, preserving, interpreting, and exploiting suffering, and whatever has been granted to it of profundity, secret, mask, spirit, cunning, greatness- was it not granted to it through suffering, through the discipline of great suffering?",Friedrich Nietzsche,"('nature', 'pain', 'science')"
He who has a why to live can bear almost any how.,Friedrich Nietzsche,"('life', 'living', 'man')"
"The 'kingdom of God' is not something one waits for; it has no yesterday or tomorrow, it does not come 'in a thousand years' it is an experience within a heart; it is everywhere, it is nowhere.",Friedrich Nietzsche,"('god', 'time', 'world')"
There are no beautiful surfaces without a terrible depth.,Friedrich Nietzsche,"('inspirational', 'life', 'science')"
"Few are made for independence, it is the privilege of the strong.",Friedrich Nietzsche,"('freedom', 'inspirational', 'power')"
"Thoughts are the shadows of our feelings - always darker, emptier and simpler.",Friedrich Nietzsche,"('love', 'mind', 'philosophy')"
There is always some madness in love. But there is also always some reason in madness.,Friedrich Nietzsche,"('inspirational', 'love', 'philosophy')"
We have art so that we shall not die of reality.,Friedrich Nietzsche,"('art', 'life', 'reality')"
"And once you are awake, you shall remain awake eternally.",Friedrich Nietzsche,"('god', 'inspirational', 'life')"
"There are horrible people who, instead of solving a problem, tangle it up and make it harder to solve for anyone who wants to deal with it. Whoever does not know how to hit the nail on the head should be asked not to hit it at all.",Friedrich Nietzsche,"('people', 'religion', 'society')"
"What is the truth, but a lie agreed upon.",Friedrich Nietzsche,"('humor', 'inspirational', 'truth')"
Do not allow yourselves to be deceived: Great Minds are Skeptical.,Friedrich Nietzsche,"('faith', 'great', 'truth')"
You know a moment is important when it is making your mind go numb with beauty.,Friedrich Nietzsche,"('beauty', 'inspirational', 'quotes')"
I cannot believe in a God who wants to be praised all the time.,Friedrich Nietzsche,"('god', 'prayer', 'religion')"
Invisible threads are the strongest ties.,Friedrich Nietzsche,"('poetry', 'strength', 'success')"
The demand to be loved is the greatest of all arrogant presumptions.,Friedrich Nietzsche,"('inspirationalquotes', 'love', 'truth')"
When a woman has scholarly inclinations there is usually something wrong with her sexuality.,Friedrich Nietzsche,"('history', 'sex', 'women')"
"Loneliness is one thing, solitude another.",Friedrich Nietzsche,"('friendship', 'humanity', 'philosophy')"
"The most spiritual men, as the strongest, find their happiness where others would find their destruction: in the labyrinth, in hardness against themselves and others, in experiments. Their joy is self-conquest: asceticism becomes in them nature, need, and instinct. Difficult tasks are a privilege to them; to play with burdens that crush others, a recreation. Knowledge-a form of asceticism. They are the most venerable kind of man: that does not preclude their being the most cheerful and the kindliest.",Friedrich Nietzsche,"('happiness', 'nature', 'spirituality')"
People who live in an age of corruption are witty and slanderous; they know that there are other kinds of murder than by dagger or assault; they also know that whatever is well said is believed.,Friedrich Nietzsche,"('knowledge', 'people', 'politics')"
"To learn to see- to accustom the eye to calmness, to patience, and to allow things to come up to it; to defer judgment, and to acquire the habit of approaching and grasping an individual case from all sides. This is the first preparatory schooling of intellectuality. One must not respond immediately to a stimulus; one must acquire a command of the obstructing and isolating instincts.",Friedrich Nietzsche,"('education', 'knowledge', 'learning')"
"For what purpose humanity is there should not even concern us: why you are here, that you should ask yourself: and if you have no ready answer, then set for yourself goals, high and noble goals, and perish in pursuit of them!",Friedrich Nietzsche,"('humanity', 'life', 'purpose')"
"He who obeys, does not listen to himself!",Friedrich Nietzsche,"('god', 'man', 'philosophy')"
All things that are truly great are at first thought impossible.,Friedrich Nietzsche,"('great', 'inspirational', 'success')"
"One must be a sea, to receive a polluted stream without becoming impure.",Friedrich Nietzsche,"('life', 'philosophy', 'successquotes')"
"The craving for equality can express itself either as a desire to pull everyone down to our own level (by belittling them, excluding them, tripping them up) or as a desire to raise ourselves up along with everyone else (by acknowledging them, helping them, and rejoicing in their success).",Friedrich Nietzsche,"('inspirational', 'reading', 'society')"
The purpose of criminal law is to punish the enemies of those in power.,Friedrich Nietzsche,"('good', 'power', 'society')"
"In heaven, all the interesting people are missing.",Friedrich Nietzsche,"('faith', 'god', 'people')"
Life is the will to power; our natural desire to dominate and reshape the world to fit our own preferences and assert our personal strength to the fullest degree.,Friedrich Nietzsche,"('inspirational', 'life', 'power')"
In every real man a child is hidden that wants to play.,Friedrich Nietzsche,"('children', 'man', 'quotes')"
"And if your friend does evil to you, say to him, ''I forgive you for what you did to me, but how can I forgive you for what you did to yourself?",Friedrich Nietzsche,"('friendship', 'love', 'wisdom')"
"Who is better, they who promote truth over happiness, or happiness over truth?",Friedrich Nietzsche,"('happiness', 'hope', 'truth')"
Become who you are. Make what only you can make.,Friedrich Nietzsche,"('inspirational', 'philosophy', 'truth')"
"I have found strength where one does not look for it: in simple, mild, and pleasant people, without the least desire to rule -- and, conversely, the desire to rule has often appeared to me a sign of inward weakness: they fear their own slave soul and shroud it in a royal cloak (in the end, they still become the slaves of their followers, their fame, etc.)",Friedrich Nietzsche,"('me', 'power', 'religion')"
It is only when we have ceased to be the followers of our followers that we comprehend how meaningless followers are.,Friedrich Nietzsche,"('belief', 'truth', 'wisdom')"
All truly great thoughts are conceived by walking.,Friedrich Nietzsche,"('hope', 'inspirational', 'spiritual')"
"When we are tired, we are attacked by ideas we conquered long ago.",Friedrich Nietzsche,"('history', 'science', 'war')"
"Amor Fati Love Your Fate, which is in fact your life.",Friedrich Nietzsche,"('life', 'love', 'romance')"
"Do not talk about giftedness, inborn talents! One can assume great men of all kinds who were very little gifted. They acquired greatness, became geniuses (as we put it), through qualities the lack of which no one who knew what they were would boast of: they all possessed that seriousness of the efficient workman which first learns to construct the parts properly before it ventures to fashion a great whole; they allowed themselves time for it, because they took more pleasure in making the little, secondary things well than in the effect of a dazzling whole.",Friedrich Nietzsche,"('creativity', 'great', 'success')"
"One must learn to love oneself with a wholesome and healthy love, so that one can bear to be with oneself and need not roam.",Friedrich Nietzsche,"('inspirational', 'life', 'love')"
"No journey is too great,",Friedrich Nietzsche,"('life', 'passion', 'time')"
when one finds what one seeks.,Friedrich Nietzsche,"('inspirational', 'purpose', 'truth')"
"But the worst enemy you can meet will always be yourself; you lie in wait for yourself in caverns and forests. Lonely one, you are going the way to yourself! And your way goes past yourself, and past your seven devils! You will be a heretic to yourself and witch and soothsayer and fool and doubter and unholy one and villain. You must be ready to burn yourself in your own flame: how could you become new, if you had not first become ashes?",Friedrich Nietzsche,"('fear', 'inspirational', 'life')"
"Many are stubborn in pursuit of the path they have chosen, few in pursuit of the goal.",Friedrich Nietzsche,"('courage', 'inspirationalquotes', 'success')"
"We are so fond of being out among nature, because it has no opinions about us.",Friedrich Nietzsche,"('life', 'nature', 'people')"
It is my ambition to say in ten sentences what others say in a whole book.,Friedrich Nietzsche,"('passion', 'reading', 'writing')"
"...lust is only a sweet poison for the weakling, but for those who will with a lion's heart it is the reverently reserved wine of wines.",Friedrich Nietzsche,"('humor', 'love', 'passion')"
"In the mountains of truth, you never climb in vain.",Friedrich Nietzsche,"('inspirational', 'philosophy', 'truth')"
"In revenge and in love, woman is more barbarous than man.",Friedrich Nietzsche,"('love', 'man', 'women')"
"Be careful when you fight the monsters, lest you become one.",Friedrich Nietzsche,"('fantasy', 'humor', 'inspirational')"
"What destroys a man more quickly than to work, think and feel without inner necessity, without any deep personal desire, without pleasure - as a mere automaton of duty?",Friedrich Nietzsche,"('love', 'man', 'work')"
What is the task of higher education? To make a man into a machine. What are the means employed? He is taught how to suffer being bored.,Friedrich Nietzsche,"('education', 'learning', 'writing')"
"I overcame myself, the sufferer; I carried my own ashes to the mountains; I invented a brighter flame for myself.",Friedrich Nietzsche,"('love', 'passion', 'religion')"
Hope in reality is the worst of all evils because it prolongs the torments of man.,Friedrich Nietzsche,"('happiness', 'hope', 'life')"
We often refuse to accept an idea merely because the tone of voice in which it has been expressed is unsympathetic to us.,Friedrich Nietzsche,"('freedom', 'successquotes', 'truth')"
"Every man has his price. This is not true. But for every man there exists a bait which he cannot resist swallowing. To win over certain people to something, it is only necessary to give it a gloss of love of humanity, nobility, gentleness, self-sacrifice - and there is nothing you cannot get them to swallow. To their souls, these are the icing, the tidbit; other kinds of souls have others.",Friedrich Nietzsche,"('god', 'leadership', 'soul')"
I am alone again and I want to be so; alone with the pure sky and open sea.,Friedrich Nietzsche,"('inspirational', 'love', 'philosophy')"
The lonely one offers his hand too quickly to whomever he encounters.,Friedrich Nietzsche,"('fiction', 'friendship', 'love')"
"For this remains as I have already pointed out the essential difference between the two religions of decadence : Buddhism promises nothing, but actually fulfils; Christianity promises everything, but fulfils nothing.",Friedrich Nietzsche,"('debasishmridha', 'joy', 'religion')"
"People are always angry at anyone who chooses very individual standards for his life; because of the extraordinary treatment which that man grants to himself, they feel degraded, like ordinary beings.",Friedrich Nietzsche,"('life', 'man', 'people')"
"But it is the same with man as with the tree. The more he seeketh to rise into the height and light, the more vigorously do his roots struggle earthward, downward, into the dark and deep into the evil.",Friedrich Nietzsche,"('light', 'nature', 'wisdom')"
"When we have to change our mind about a person, we hold the inconvenience he causes us very much against him.",Friedrich Nietzsche,"('god', 'love', 'mind')"
"Today as always, men fall into two groups: slaves and free men. Whoever does not have two-thirds of his day for himself, is a slave, whatever he may be: a statesman, a businessman, an official, or a scholar.",Friedrich Nietzsche,"('freedom', 'man', 'men')"
"The great works are produced in such an ecstasy of love that they must always be unworthy of it, however great their worth otherwise.",Friedrich Nietzsche,"('art', 'great', 'humanity')"
The deeper minds of all ages have had pity for animals.,Friedrich Nietzsche,"('humanity', 'humour', 'nature')"
"Without music, life would be a mistake.",Friedrich Nietzsche,"('inspirational', 'life', 'music')"
We labour at our daily work more ardently and thoughtlessly than is necessary to sustain our life because it is even more necessary not to have leisure to stop and think. Haste is universal because everyone is in flight from himself.,Friedrich Nietzsche,"('life', 'science', 'work')"
"When you look into an abyss, the abyss also looks into you.",Friedrich Nietzsche,"('inspirational', 'life', 'love')"
Every profound spirit needs a mask.,Friedrich Nietzsche,"('books', 'god', 'spirituality')"
"Mediocrity is the most effective mask a superior spirit can wear, because to the great majority, which is to say, to the mediocre,it will not suggest a disguise:--and yet it is precisely for their sake that he puts it on--so as not to arouse them, and, indeed, not infrequently to avoid this out of pity and benevolence.",Friedrich Nietzsche,"('history', 'humor', 'society')"
The best weapon against an enemy is another enemy.,Friedrich Nietzsche,"('humor', 'inspirational', 'war')"
"All I need is a sheet of paper and something to write with, and then I can turn the world upside down.",Friedrich Nietzsche,"('love', 'world', 'writing')"
"By losing your goal, You have lost your way.",Friedrich Nietzsche,"('inspirational', 'life', 'quotes')"
"What, if some day or night a demon were to steal after you into your loneliest loneliness and say to you: 'This life as you now live it and have lived it, you will have to live once more and innumerable times more' ... Would you not throw yourself down and gnash your teeth and curse the demon who spoke thus? Or have you once experienced a tremendous moment when you would have answered him: 'You are a god and never have I heard anything more divine.",Friedrich Nietzsche,"('god', 'life', 'love')"
The 'kingdom of Heaven' is a condition of the heart - not something that comes 'upon the earth' or 'after death.',Friedrich Nietzsche,"('death', 'god', 'heart')"
"When self control is lacking in small things, the ability to apply it to matters of importance withers away. Every day in which one does not at least deny himself some trifle is badly spent and a threat to the day following.",Friedrich Nietzsche,"('life', 'power', 'self')"
Morality is the herd-instinct in the individual.,Friedrich Nietzsche,"('people', 'sex', 'society')"
"Convictions are more dangerous enemies of truth than lies.Courageous, untroubled, mocking and violent-that is what Wisdom wants us to be. Wisdom is a woman, and loves only a warrior.",Friedrich Nietzsche,"('life', 'truth', 'wisdom')"
"Ultimately, it is the desire, not the desired, that we love.",Friedrich Nietzsche,"('life', 'love', 'philosophy')"
Become who you are!,Friedrich Nietzsche,"('inspirational', 'inspirationalquotes', 'success')"
"In truth,there was only one christian and he died on the cross.",Friedrich Nietzsche,"('christian', 'christianity', 'death')"
It is nobler to declare oneself wrong than to insist on being right --especially when one is right.,Friedrich Nietzsche,"('spirituality', 'truth', 'words')"
What is wrong with Christianity is that it refrains from doing all those things that Christ commanded should be done.,Friedrich Nietzsche,"('christianity', 'god', 'religion')"
"If you want me to believe in your redeemer, you are going to have to look a lot more redeemed.",Friedrich Nietzsche,"('love', 'soul', 'you')"
Convictions are more dangerous foes of truth than lies.,Friedrich Nietzsche,"('life', 'politics', 'truth')"
What is evil?-Whatever springs from weakness.,Friedrich Nietzsche,"('courage', 'good', 'strength')"
There is not enough love and goodness in the world to permit giving any of it away to imaginary beings.,Friedrich Nietzsche,"('humanity', 'love', 'spirituality')"
"Socialism is the phantastic younger brother of despotism, which it wants to inherit. Socialism wants to have the fullness of state force which before only existed in despotism. ... However, it goes further than anything in the past because it aims at the formal destruction of the individual ... who ... can be used to improve communities by an expedient organ of government.",Friedrich Nietzsche,"('people', 'politics', 'power')"
Beware of spitting against the wind!,Friedrich Nietzsche,"('humor', 'inspiration', 'poetry')"
No artist tolerates reality.,Friedrich Nietzsche,"('art', 'me', 'reality')"
Deep is the well of truth and long does it take to know what has fallen into its depths.,Friedrich Nietzsche,"('knowledge', 'spirituality', 'truth')"
"But thus I counsel you, my friends: Mistrust all in whom the impulse to punish is powerful. They are people of a low sort and stock; the hangmen and the bloodhound look out of their faces. Mistrust all who talk much of their justice! Verily, their souls lack more than honey. And when they call themselves the good and the just, do not forget that they would be pharisees, if only they had-power.",Friedrich Nietzsche,"('people', 'religion', 'truth')"
One should steal only where one cannot rob.,Friedrich Nietzsche,"('freedom', 'self', 'society')"
The lie is a condition of life.,Friedrich Nietzsche,"('death', 'life', 'truth')"
After coming into contact with a religious man I always feel I must wash my hands.,Friedrich Nietzsche,"('christian', 'god', 'religion')"
"Deception, flattering, lying, deluding, talking behind the back, putting up a false front, living in borrowed splendor, wearing a mask, hiding behind convention, playing a role for others and for oneself -- in short, a continuous fluttering around the solitary flame of vanity -- is so much the rule and the law among men that there is almost nothing which is less comprehensible than how an honest and pure drive for truth could have arisen among them.",Friedrich Nietzsche,"('humor', 'truth', 'words')"
One who is always deeply involved in what he is doing is above all embarrassment.,Friedrich Nietzsche,"('god', 'people', 'religion')"
"What we do is never understood, but always merely praised or blamed.",Friedrich Nietzsche,"('philosophy', 'spiritual', 'wisdom')"
"The strong individual loves the earth so much he lusts for recurrence. He can smile in the face of the most terrible thought: meaningless, aimless existence recurring eternally. The second characteristic of such a man is that he has the strength to recognize - and to live with the recognition - that the world is valueless in itself and that all values are human ones. He creates himself by fashioning his own values; he has the pride to live by the values he wills.",Friedrich Nietzsche,"('love', 'man', 'nature')"
Madness is not a consequence of uncertainty but of certainty.,Friedrich Nietzsche,"('belief', 'fear', 'science')"
Your soul will be dead even before your body: fear nothing further.,Friedrich Nietzsche,"('death', 'life', 'soul')"
"I go in solitude, so as not to drink out of everybody's cistern. When I am among the many I live as the many do, and I do not think I really think; after a time it always seems as if they want to banish myself from myself and rob me of my soul.",Friedrich Nietzsche,"('life', 'me', 'religion')"
"To one who is accustomed to thinking a lot, every new thought that he hears or reads about immediately appears as a link in a chain.",Friedrich Nietzsche,"('creativity', 'mind', 'words')"
We hear only those questions for which we are in a position to find answers.,Friedrich Nietzsche,"('inspirational', 'lovequotes', 'success')"
Fear is the mother of morality.,Friedrich Nietzsche,"('fear', 'god', 'life')"
At the beginning of a marriage ask yourself whether this woman will be interesting to talk to from now until old age. Everything else in marriage is transitory: most of the time is spent in conversation.,Friedrich Nietzsche,"('love', 'marriage', 'time')"
"But this people has deliberately made itself stupid, for nearly a millennium: nowhere have the two great European narcotics, alcohol and Christianity, been abused more dissolutely.",Friedrich Nietzsche,"('people', 'religion', 'world')"
In a certain state it is indecent to live longer.,Friedrich Nietzsche,"('death', 'life', 'living')"
A thinker sees his own actions as experiments and questions--as attempts to find out something. Success and failure are for him answers above all.,Friedrich Nietzsche,"('mind', 'success', 'think')"
The most perfidious way of harming a cause consists of defending it deliberately with faulty arguments.,Friedrich Nietzsche,"('christianity', 'politics', 'you')"
Belief in truth begins with doubting all that has hitherto been believed to be true.,Friedrich Nietzsche,"('belief', 'faith', 'truth')"
What convinces is not necessarily true-it is merely convincing: a note for asses.,Friedrich Nietzsche,"('humor', 'marriage', 'truth')"
the voice of beauty speaks softly; it creeps only into the most fully awakened souls,Friedrich Nietzsche,"('beauty', 'lovequotes', 'soul')"
"To live alone one must be a beast or a god, says Aristotle. Leaving out the third case: one must be both - a philosopher.",Friedrich Nietzsche,"('books', 'life', 'philosophy')"
One must renounce the bad taste of wishing to agree with many people.,Friedrich Nietzsche,"('inspirational', 'peace', 'people')"
"Two great European narcotics, alcohol and Christianity.",Friedrich Nietzsche,"('great', 'humor', 'religion')"
"There is nothing more necessary than truth, and in comparison with it everything else has only secondary value. This absolute will to truth: what is it? Is it the will to not allow ourselves to be deceived? Is it the will not to deceive? One does not want to be deceived, under the supposition that it is injurious, dangerous, or fatal to be deceived.",Friedrich Nietzsche,"('courage', 'spiritual', 'truth')"
Faith: not wanting to know what is true.,Friedrich Nietzsche,"('faith', 'religion', 'truth')"
"A thought, even a possibility, can shatter and transform us.",Friedrich Nietzsche,"('future', 'hope', 'mind')"
"The best friend will probably acquire the best wife, because a good marriage is founded on the talent for friendship.",Friedrich Nietzsche,"('friendship', 'marriage', 'philosophy')"
My idea of paradise is a straight line to goal,Friedrich Nietzsche,"('god', 'life', 'purpose')"
"What was silent in the father speaks in the son, and often I found in the son the unveiled secret of the father.",Friedrich Nietzsche,"('children', 'humor', 'poetry')"
"Every achievement, every step forward in knowledge, is the consequence of courage, of toughness towards oneself, of sincerity to oneself",Friedrich Nietzsche,"('courage', 'knowledge', 'success')"
"Ah, women. They make the highs higher and the lows more frequent.",Friedrich Nietzsche,"('men', 'women', 'writing')"
"There is one thing one has to have either a soul that is cheerful by nature, or a soul made cheerful by work, love, art, and knowledge.",Friedrich Nietzsche,"('happiness', 'life', 'soul')"
Those who cannot understand how to put their thoughts on ice should not enter into the heat of debate.,Friedrich Nietzsche,"('spirituality', 'think', 'writing')"
"Everyone needs a sense of shame, but no one needs to feel ashamed.",Friedrich Nietzsche,"('humour', 'people', 'philosophy')"
"He has drawn back, only in order to have enough room for his leap",Friedrich Nietzsche,"('friendship', 'time', 'you')"
On every parable you ride to every truth.,Friedrich Nietzsche,"('inspirational', 'philosophy', 'truth')"
Death is close enough at hand so we do not need to be afraid of life.,Friedrich Nietzsche,"('death', 'fear', 'life')"
"The most intelligent men, like the strongest, find their happiness where others would find only disaster: in the labyrinth, in being hard with themselves and with others, in effort; their delight is self-mastery; in them asceticism becomes second nature, a necessity, as instinct.",Friedrich Nietzsche,"('inspirational', 'intelligence', 'mind')"
Sometimes it is harder to accede to a thing than it is to see its truth.,Friedrich Nietzsche,"('faith', 'philosophy', 'truth')"
"There exists above the ""productive"" man a yet higher species.",Friedrich Nietzsche,"('humanity', 'man', 'science')"
For a tree to become tall it must grow tough roots among the rocks.,Friedrich Nietzsche,"('inspirational', 'nature', 'you')"
Creating-that is the great salvation from suffering.,Friedrich Nietzsche,"('creativity', 'god', 'spiritual')"
I love the great despisers because they are the great adorers.,Friedrich Nietzsche,"('great', 'love', 'success')"
"It is not when truth is dirty, but when it is shallow, that the lover of knowledge is reluctant to step into its waters.",Friedrich Nietzsche,"('knowledge', 'truth', 'wisdom')"
The man of knowledge must be able not only to love his enemies but also to hate his friends.,Friedrich Nietzsche,"('knowledge', 'love', 'wisdom')"
The growth of wisdom may be gauged exactly by the diminution of ill-temper.,Friedrich Nietzsche,"('nature', 'science', 'wisdom')"
Extreme positions are not succeeded by moderate ones but by extreme positions of the opposite kind.,Friedrich Nietzsche,"('leadership', 'success', 'you')"
"I know my fate. One day my name will be associated with the memory of something tremendous a crisis without equal on earth, the most profound collision of conscience, a decision that was conjured up against everything that had been believed, demanded, hallowed so far. I am no man, I am dynamite.",Friedrich Nietzsche,"('future', 'life', 'love')"
Success has always been a great liar.,Friedrich Nietzsche,"('great', 'success', 'truth')"
